Position (m) Run #1	Magnetic Field Strength (100X) (T) Run #1	Position (m) Run #2	Magnetic Field Strength (100X) (T) Run #2	Position (m) Run #3	Magnetic Field Strength (100X) (T) Run #3	Position (m) Run #4	Magnetic Field Strength (100X) (T) Run #4	Position (m) Run #5	Magnetic Field Strength (100X) (T) Run #5	Position (m) Run #6	Magnetic Field Strength (100X) (T) Run #6	Position (m) Run #7	Magnetic Field Strength (100X) (T) Run #7
0.0502	7.0E-5	0.0403	5.6E-5	0.0541	7.2E-5	0.0667	7.2E-5	0.0605	7.6E-5	0.0640	7.6E-5	0.0568	7.4E-5
0.0506	7.1E-5	0.0405	5.6E-5	0.0545	7.2E-5	0.0672	7.2E-5	0.0609	7.6E-5	0.0645	7.5E-5	0.0572	7.5E-5
0.0509	7.1E-5	0.0408	5.7E-5	0.0548	7.2E-5	0.0677	7.1E-5	0.0612	7.6E-5	0.0649	7.5E-5	0.0576	7.5E-5
0.0513	7.1E-5	0.0410	5.7E-5	0.0552	7.2E-5	0.0682	7.0E-5	0.0616	7.5E-5	0.0653	7.5E-5	0.0579	7.5E-5
0.0516	7.1E-5	0.0413	5.7E-5	0.0555	7.3E-5	0.0686	7.0E-5	0.0620	7.5E-5	0.0658	7.4E-5	0.0583	7.5E-5
0.0520	7.2E-5	0.0416	5.8E-5	0.0558	7.3E-5	0.0691	6.9E-5	0.0623	7.5E-5	0.0663	7.4E-5	0.0586	7.5E-5
0.0523	7.2E-5	0.0418	5.8E-5	0.0562	7.3E-5	0.0695	6.9E-5	0.0627	7.4E-5	0.0667	7.4E-5	0.0590	7.6E-5
0.0527	7.2E-5	0.0421	5.8E-5	0.0565	7.4E-5	0.0699	6.8E-5	0.0631	7.4E-5	0.0672	7.3E-5	0.0594	7.6E-5
0.0530	7.3E-5	0.0424	5.9E-5	0.0569	7.4E-5	0.0704	6.8E-5	0.0635	7.4E-5	0.0676	7.3E-5	0.0598	7.6E-5
0.0534	7.3E-5	0.0426	5.9E-5	0.0572	7.4E-5	0.0709	6.7E-5	0.0639	7.3E-5	0.0680	7.3E-5	0.0602	7.6E-5
0.0537	7.3E-5	0.0429	6.0E-5	0.0576	7.4E-5	0.0713	6.6E-5	0.0643	7.3E-5	0.0683	7.3E-5	0.0606	7.6E-5
0.0541	7.3E-5	0.0432	6.0E-5	0.0579	7.4E-5	0.0718	6.5E-5	0.0647	7.3E-5	0.0686	7.2E-5	0.0610	7.6E-5
0.0544	7.4E-5	0.0435	6.0E-5	0.0583	7.4E-5	0.0722	6.5E-5	0.0651	7.3E-5	0.0690	7.2E-5	0.0613	7.6E-5
0.0547	7.4E-5	0.0438	6.1E-5	0.0586	7.4E-5	0.0727	6.4E-5	0.0654	7.2E-5	0.0694	7.1E-5	0.0617	7.6E-5
0.0551	7.5E-5	0.0440	6.1E-5	0.0590	7.4E-5	0.0732	6.3E-5	0.0657	7.2E-5	0.0698	7.0E-5	0.0621	7.6E-5
0.0554	7.5E-5	0.0443	6.2E-5	0.0594	7.4E-5	0.0736	6.3E-5	0.0660	7.2E-5	0.0703	6.9E-5	0.0625	7.6E-5
0.0559	7.5E-5	0.0446	6.2E-5	0.0598	7.4E-5	0.0740	6.2E-5	0.0664	7.1E-5	0.0707	6.9E-5	0.0630	7.6E-5
0.0564	7.5E-5	0.0448	6.3E-5	0.0602	7.4E-5	0.0743	6.1E-5	0.0667	7.1E-5	0.0712	6.8E-5	0.0635	7.6E-5
0.0569	7.6E-5	0.0451	6.4E-5	0.0606	7.4E-5	0.0747	6.1E-5	0.0672	7.0E-5	0.0717	6.7E-5	0.0639	7.5E-5
0.0573	7.6E-5	0.0453	6.4E-5	0.0610	7.4E-5	0.0752	6.0E-5	0.0677	7.0E-5	0.0722	6.6E-5	0.0644	7.5E-5
0.0578	7.6E-5	0.0456	6.4E-5	0.0614	7.4E-5	0.0756	5.9E-5	0.0681	7.0E-5	0.0727	6.5E-5	0.0649	7.5E-5
0.0582	7.6E-5	0.0458	6.5E-5	0.0619	7.3E-5	0.0761	5.8E-5	0.0686	6.9E-5	0.0732	6.4E-5	0.0654	7.4E-5
0.0586	7.5E-5	0.0461	6.5E-5	0.0623	7.3E-5	0.0766	5.7E-5	0.0691	6.9E-5	0.0737	6.4E-5	0.0659	7.4E-5
0.0591	7.5E-5	0.0465	6.5E-5	0.0628	7.2E-5	0.0771	5.6E-5	0.0695	6.8E-5	0.0742	6.3E-5	0.0663	7.4E-5
0.0596	7.5E-5	0.0468	6.5E-5	0.0633	7.2E-5	0.0777	5.6E-5	0.0700	6.8E-5	0.0747	6.2E-5	0.0668	7.4E-5
0.0601	7.5E-5	0.0471	6.5E-5	0.0639	7.2E-5	0.0782	5.5E-5	0.0706	6.7E-5	0.0752	6.1E-5	0.0673	7.3E-5
0.0607	7.5E-5	0.0475	6.6E-5	0.0644	7.2E-5	0.0787	5.4E-5	0.0711	6.6E-5	0.0757	6.1E-5	0.0677	7.3E-5
0.0612	7.5E-5	0.0478	6.6E-5	0.0650	7.1E-5	0.0793	5.3E-5	0.0716	6.5E-5	0.0763	6.0E-5	0.0682	7.2E-5
0.0618	7.5E-5	0.0481	6.6E-5	0.0655	7.1E-5	0.0798	5.3E-5	0.0722	6.5E-5	0.0768	5.9E-5	0.0686	7.2E-5
0.0623	7.5E-5	0.0484	6.7E-5	0.0661	7.0E-5	0.0803	5.2E-5	0.0727	6.4E-5	0.0773	5.9E-5	0.0691	7.1E-5
0.0628	7.4E-5	0.0487	6.7E-5	0.0667	7.0E-5	0.0809	5.1E-5	0.0732	6.3E-5	0.0779	5.8E-5	0.0695	7.0E-5
0.0633	7.4E-5	0.0489	6.7E-5	0.0672	7.0E-5	0.0814	5.1E-5	0.0737	6.3E-5	0.0784	5.7E-5	0.0700	7.0E-5
0.0638	7.4E-5	0.0492	6.8E-5	0.0678	6.9E-5	0.0819	5.0E-5	0.0742	6.2E-5	0.0789	5.6E-5	0.0704	6.9E-5
