Position (m) Run #1	Magnetic Field Strength (100X) (T) Run #1	Position (m) Run #2	Magnetic Field Strength (100X) (T) Run #2	Position (m) Run #3	Magnetic Field Strength (100X) (T) Run #3	Position (m) Run #4	Magnetic Field Strength (100X) (T) Run #4	Position (m) Run #5	Magnetic Field Strength (100X) (T) Run #5	Position (m) Run #6	Magnetic Field Strength (100X) (T) Run #6	Position (m) Run #7	Magnetic Field Strength (100X) (T) Run #7
0.0791	6.2E-5	0.0979	2.0E-5	0.1061	1.6E-5	0.0937	2.9E-5	0.1041	1.8E-5	0.0972	2.3E-5	0.0907	3.2E-5
0.0796	6.1E-5	0.0984	1.9E-5	0.1065	1.6E-5	0.0940	2.9E-5	0.1045	1.8E-5	0.0977	2.2E-5	0.0911	3.2E-5
0.0800	6.0E-5	0.0989	1.9E-5	0.1069	1.5E-5	0.0944	2.8E-5	0.1049	1.7E-5	0.0982	2.2E-5	0.0915	3.1E-5
0.0805	5.9E-5	0.0994	1.8E-5	0.1073	1.5E-5	0.0948	2.7E-5	0.1052	1.7E-5	0.0987	2.1E-5	0.0919	3.0E-5
0.0810	5.8E-5	0.0999	1.7E-5	0.1077	1.5E-5	0.0952	2.6E-5	0.1057	1.7E-5	0.0993	2.0E-5	0.0924	3.0E-5
0.0814	5.6E-5	0.1004	1.7E-5	0.1080	1.4E-5	0.0955	2.5E-5	0.1062	1.7E-5	0.0998	2.0E-5	0.0928	2.9E-5
0.0819	5.5E-5	0.1009	1.6E-5	0.1084	1.4E-5	0.0959	2.5E-5	0.1066	1.7E-5	0.1003	1.9E-5	0.0933	2.8E-5
0.0824	5.4E-5	0.1013	1.5E-5	0.1087	1.4E-5	0.0962	2.4E-5	0.1071	1.7E-5	0.1008	1.8E-5	0.0938	2.7E-5
0.0828	5.3E-5	0.1018	1.5E-5	0.1090	1.3E-5	0.0967	2.4E-5	0.1076	1.6E-5	0.1012	1.8E-5	0.0942	2.7E-5
0.0833	5.2E-5	0.1022	1.4E-5	0.1093	1.3E-5	0.0970	2.3E-5	0.1081	1.6E-5	0.1017	1.7E-5	0.0947	2.6E-5
0.0837	5.1E-5	0.1026	1.4E-5	0.1096	1.3E-5	0.0975	2.3E-5	0.1086	1.6E-5	0.1022	1.7E-5	0.0951	2.5E-5
0.0842	5.0E-5	0.1030	1.4E-5	0.1099	1.3E-5	0.0979	2.3E-5	0.1091	1.6E-5	0.1026	1.6E-5	0.0955	2.4E-5
0.0846	4.9E-5	0.1034	1.3E-5	0.1102	1.3E-5	0.0983	2.2E-5	0.1096	1.6E-5	0.1031	1.5E-5	0.0959	2.4E-5
0.0850	4.8E-5	0.1038	1.3E-5	0.1105	1.2E-5	0.0987	2.2E-5	0.1100	1.5E-5	0.1036	1.5E-5	0.0962	2.3E-5
0.0854	4.7E-5	0.1041	1.3E-5	0.1108	1.2E-5	0.0991	2.1E-5	0.1105	1.5E-5	0.1040	1.4E-5	0.0966	2.2E-5
0.0857	4.6E-5	0.1045	1.2E-5	0.1111	1.2E-5	0.0994	2.1E-5	0.1110	1.5E-5	0.1044	1.4E-5	0.0969	2.2E-5
0.0861	4.5E-5	0.1048	1.2E-5	0.1115	1.1E-5	0.0998	2.1E-5	0.1114	1.4E-5	0.1049	1.3E-5	0.0973	2.1E-5
0.0864	4.4E-5	0.1051	1.2E-5	0.1118	1.1E-5	0.1002	2.0E-5	0.1119	1.4E-5	0.1053	1.3E-5	0.0976	2.1E-5
0.0867	4.3E-5	0.1054	1.2E-5	0.1121	1.1E-5	0.1006	2.0E-5	0.1124	1.3E-5	0.1058	1.3E-5	0.0980	2.0E-5
0.0870	4.3E-5	0.1057	1.1E-5	0.1124	1.1E-5	0.1011	1.9E-5	0.1128	1.3E-5	0.1062	1.3E-5	0.0983	2.0E-5
0.0874	4.2E-5	0.1059	1.1E-5	0.1127	1.0E-5	0.1015	1.9E-5	0.1133	1.3E-5	0.1067	1.2E-5	0.0987	1.9E-5
0.0877	4.1E-5	0.1062	1.1E-5	0.1130	9.8E-6	0.1019	1.9E-5	0.1137	1.2E-5	0.1071	1.1E-5	0.0991	1.8E-5
0.0881	4.0E-5	0.1065	1.1E-5	0.1132	9.4E-6	0.1023	1.8E-5	0.1142	1.2E-5	0.1075	1.1E-5	0.0995	1.8E-5
0.0884	3.9E-5	0.1068	1.1E-5	0.1135	9.2E-6	0.1028	1.8E-5	0.1146	1.2E-5	0.1080	1.0E-5	0.0998	1.7E-5
0.0887	3.9E-5	0.1070	1.1E-5	0.1137	8.9E-6	0.1032	1.7E-5	0.1150	1.2E-5	0.1083	9.8E-6	0.1001	1.7E-5
0.0890	3.8E-5	0.1072	1.1E-5	0.1139	8.6E-6	0.1036	1.6E-5	0.1155	1.1E-5	0.1087	9.3E-6	0.1005	1.7E-5
0.0892	3.7E-5	0.1075	1.1E-5	0.1142	8.3E-6	0.1040	1.6E-5	0.1159	1.1E-5	0.1091	9.0E-6	0.1008	1.6E-5
0.0895	3.7E-5	0.1079	1.0E-5	0.1144	8.0E-6	0.1044	1.5E-5	0.1163	1.1E-5	0.1094	8.8E-6	0.1011	1.6E-5
0.0897	3.6E-5	0.1082	1.0E-5	0.1146	7.8E-6	0.1047	1.5E-5	0.1167	1.1E-5	0.1097	8.6E-6	0.1014	1.6E-5
0.0900	3.5E-5	0.1084	9.9E-6	0.1148	7.6E-6	0.1051	1.4E-5	0.1171	1.0E-5	0.1101	8.2E-6	0.1018	1.5E-5
0.0904	3.5E-5	0.1087	9.7E-6	0.1150	7.4E-6	0.1054	1.4E-5	0.1175	1.0E-5	0.1104	7.9E-6	0.1021	1.5E-5
0.0907	3.4E-5	0.1090	9.4E-6	0.1153	7.3E-6	0.1058	1.3E-5	0.1179	9.8E-6	0.1108	7.8E-6	0.1024	1.5E-5
0.0911	3.4E-5	0.1093	9.3E-6	0.1155	7.2E-6	0.1061	1.3E-5	0.1182	9.4E-6	0.1111	7.9E-6	0.1027	1.5E-5
0.0914	3.3E-5	0.1096	9.1E-6	0.1156	7.2E-6	0.1065	1.3E-5	0.1185	9.0E-6	0.1115	8.0E-6	0.1031	1.4E-5
0.0917	3.3E-5	0.1100	9.0E-6	0.1158	7.3E-6	0.1069	1.2E-5	0.1187	8.7E-6	0.1118	8.0E-6	0.1035	1.4E-5
0.0920	3.2E-5	0.1104	8.7E-6	0.1159	7.4E-6	0.1072	1.2E-5	0.1189	8.5E-6	0.1122	7.9E-6	0.1039	1.3E-5
0.0924	3.2E-5	0.1107	8.5E-6	0.1161	7.6E-6	0.1076	1.2E-5	0.1192	8.2E-6	0.1125	7.8E-6	0.1043	1.3E-5
0.0927	3.1E-5	0.1111	8.4E-6	0.1162	7.7E-6	0.1079	1.2E-5	0.1195	8.1E-6	0.1128	7.8E-6	0.1047	1.3E-5
0.0931	3.1E-5	0.1114	8.2E-6	0.1164	7.8E-6	0.1082	1.2E-5	0.1197	8.0E-6	0.1132	7.7E-6	0.1051	1.2E-5
0.0934	3.0E-5	0.1117	8.1E-6	0.1165	7.9E-6	0.1085	1.2E-5	0.1199	7.8E-6	0.1135	7.6E-6	0.1055	1.2E-5
0.0938	3.0E-5	0.1120	8.0E-6	0.1167	7.8E-6	0.1088	1.1E-5	0.1201	7.7E-6	0.1139	7.7E-6	0.1059	1.2E-5
0.0942	2.9E-5	0.1123	7.8E-6	0.1169	7.8E-6	0.1090	1.1E-5	0.1203	7.6E-6	0.1143	7.7E-6	0.1063	1.2E-5
0.0946	2.9E-5	0.1126	7.7E-6	0.1170	7.9E-6	0.1093	1.1E-5	0.1204	7.5E-6	0.1146	7.7E-6	0.1067	1.1E-5
0.0950	2.9E-5	0.1128	7.6E-6	0.1172	7.9E-6	0.1095	1.0E-5	0.1205	7.4E-6	0.1150	7.6E-6	0.1071	1.1E-5
0.0954	2.8E-5	0.1131	7.6E-6	0.1173	8.0E-6	0.1098	1.0E-5	0.1205	7.4E-6	0.1153	7.3E-6	0.1075	1.1E-5
0.0958	2.8E-5	0.1134	7.3E-6	0.1175	8.1E-6	0.1101	9.9E-6	0.1205	7.4E-6	0.1157	7.1E-6	0.1078	1.0E-5
0.0963	2.8E-5	0.1136	7.2E-6	0.1177	8.0E-6	0.1105	9.8E-6	0.1205	7.3E-6	0.1160	6.9E-6	0.1082	1.0E-5
0.0967	2.7E-5	0.1139	7.0E-6	0.1179	8.0E-6	0.1109	9.8E-6	0.1205	7.2E-6	0.1164	6.6E-6	0.1084	1.0E-5
0.0971	2.7E-5	0.1141	6.8E-6	0.1181	7.9E-6	0.1112	9.9E-6	0.1205	7.1E-6	0.1168	6.4E-6	0.1087	9.8E-6
0.0975	2.7E-5	0.1144	6.6E-6	0.1184	7.8E-6	0.1116	9.9E-6	0.1205	6.9E-6	0.1171	6.4E-6	0.1090	9.7E-6
0.0979	2.6E-5	0.1147	6.4E-6	0.1186	7.6E-6	0.1120	9.7E-6	0.1205	6.6E-6	0.1174	6.6E-6	0.1093	9.7E-6
